Date,Bench 3,Bench 5,Taille de la trame,Mac_Src,Mac_Dst,Type,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,MAC_Sender,Source_IP,Sender_IP,Dest_IP,MAC_Target,Field_9,Target_IP,Field_10,Field_11,Field_14,Field_16,Field_17,Field_18,Field_20,Field_21,Field_23,Field_25,Field_26,Field_28,Field_29,Field_30,Field_32,Field_33_34_35,Time Packet (cal),PMID
2022-03-04 15:37:01.408,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10719,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,365,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001050.5146026611,2000-01-13 02:04:10.514,33c05(MID_5)
2022-03-04 15:37:01.433,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10720,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,365,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001050.5545959473,2000-01-13 02:04:10.554,33c08(MID_8)
2022-03-04 15:37:01.508,3,1 FT_0_label_1,350,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,332,10721,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,312,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,365,297,0,0,0,3 FT_3_label_4,15 FT_4_label_16,12,0(unknown),1001050.5679321289,2000-01-13 02:04:10.567,33c0c(MID_12)
2022-03-04 15:37:01.533,3,1 FT_0_label_1,98,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,80,10722,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,60,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,320,45,0,0,0,3 FT_3_label_4,15 FT_4_label_16,15,0(unknown),1001050.607925415,2000-01-13 02:04:10.607,33c0f(MID_15)
2022-03-04 15:37:01.533,3,1 FT_0_label_1,590,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,572,10723,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,552,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,366,537,0,0,0,3 FT_3_label_4,15 FT_4_label_16,272,0(unknown),1001050.6211547852,2000-01-13 02:04:10.621,33d10(MID_61)
2022-03-04 15:37:01.608,3,1 FT_0_label_1,246,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,228,10724,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,208,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,366,193,0,0,0,3 FT_3_label_4,15 FT_4_label_16,1,0(unknown),1001050.621383667,2000-01-13 02:04:10.621,33c01(MID_1)
2022-03-04 15:37:01.633,3,1 FT_0_label_1,210,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,192,10725,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,172,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,366,157,0,0,0,3 FT_3_label_4,15 FT_4_label_16,5,0(unknown),1001050.6612701416,2000-01-13 02:04:10.661,33c05(MID_5)
2022-03-04 15:37:01.683,3,1 FT_0_label_1,94,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,76,10726,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,56,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,366,41,0,0,0,3 FT_3_label_4,15 FT_4_label_16,8,0(unknown),1001050.6745910645,2000-01-13 02:04:10.674,33c08(MID_8)
2022-03-04 15:37:01.708,3,1 FT_0_label_1,350,00:1f:29:57:94:f (ordi_4),00:10:EC:01:E5:43 (ordi_2),800,17664,332,10727,0,64,17,,169.254.174.5 (ordi_3),,169.254.174.223 (ordi_4),,12501,,12500,312,0 FT_7_label_1,000,0 FT_5_label_1,0 FT_2_label_1,366,297,0,0,0,3 FT_3_label_4,15 FT_4_label_16,12,0(unknown),1001050.7012634277,2000-01-13 02:04:10.701,33c0c(MID_12)
2022-03-04 15:37:01.710,3,2 FT_0_label_2,62,00:10:EC:01:E5:43 (ordi_2),00:1f:29:57:94:f (ordi_4),800,17664,48,32994,16384,64,17,,169.254.174.223 (ordi_4),,169.254.174.5 (ordi_3),,12500,,12501,28,1 FT_7_label_2,000,0 FT_5_label_1,0 FT_2_label_1,0,13,0,0,0,3 FT_3_label_4,15 FT_4_label_16,97,0(unknown),0.0,2000-01-01 12:00:00.000,8033c61(MID_181)
